source_id,entry_time_utc,action,root,strike,option_right,expiry_date,quantity,fill_price,net_pnl,fees,status,opra_code
HTML_3363478315878744720,2025-09-15 13:42:00,BUY,XSP,662.0,C,2025-09-15,5.0,0.3,-152.71,0.21,FILLED,O:XSP250915C00662000
HTML_3510192718777703467,2025-09-15 13:43:00,BUY,XSP,659.0,P,2025-09-15,1.0,0.28,-27.54,0.04,FILLED,O:XSP250915P00659000
HTML_6635684667254297945,2025-09-15 14:29:00,SELL,XSP,662.0,C,2025-09-15,5.0,0.43,215.0,0.21,FILLED,O:XSP250915C00662000
HTML_7541231702976463362,2025-09-15 14:29:00,SELL,XSP,659.0,P,2025-09-15,1.0,0.18,18.0,0.04,FILLED,O:XSP250915P00659000
HTML_543788984025281946,2025-09-16 13:42:00,BUY,XSP,661.0,P,2025-09-16,3.0,0.68,-202.62,0.12,FILLED,O:XSP250916P00661000
HTML_5363010719371025010,2025-09-16 13:43:00,BUY,XSP,663.0,C,2025-09-16,1.0,0.28,-27.54,0.04,FILLED,O:XSP250916C00663000
HTML_7859312328658704299,2025-09-16 13:53:00,SELL,XSP,661.0,P,2025-09-16,3.0,0.97,291.0,0.12,FILLED,O:XSP250916P00661000
HTML_9199501652875154268,2025-09-16 13:53:00,SELL,XSP,663.0,C,2025-09-16,1.0,0.2,20.0,0.04,FILLED,O:XSP250916C00663000
HTML_6729520679834508889,2025-09-17 17:50:00,BUY,XSP,661.0,C,2025-09-18,1.0,2.6,-260.54,0.04,FILLED,O:XSP250918C00661000
HTML_4547491330813525336,2025-09-17 18:01:00,SELL,XSP,661.0,C,2025-09-18,1.0,2.86,286.0,0.04,FILLED,O:XSP250918C00661000
HTML_1106528156389653107,2025-09-17 18:10:00,BUY,XSP,664.0,C,2025-09-17,1.0,0.69,-68.54,0.04,FILLED,O:XSP250917C00664000
HTML_5798534731770549832,2025-09-17 18:53:00,SELL,XSP,664.0,C,2025-09-17,1.0,0.05,5.0,0.04,FILLED,O:XSP250917C00664000
HTML_2659698591606919160,2025-09-18 13:42:00,BUY,XSP,663.0,C,2025-09-18,1.0,0.94,-94.54,0.04,FILLED,O:XSP250918C00663000
HTML_8864248823946896920,2025-09-18 13:42:00,BUY,XSP,660.0,P,2025-09-18,1.0,0.78,-77.54,0.04,FILLED,O:XSP250918P00660000
HTML_8376196592135685648,2025-09-18 13:43:00,BUY,XSP,663.0,C,2025-09-18,2.0,0.89,-177.08,0.08,FILLED,O:XSP250918C00663000
HTML_1015295967183633991,2025-09-18 13:48:00,SELL,XSP,660.0,P,2025-09-18,1.0,0.82,82.0,0.04,FILLED,O:XSP250918P00660000
HTML_4710708051704585293,2025-09-18 13:51:00,SELL,XSP,663.0,C,2025-09-18,3.0,1.26,378.0,0.12,FILLED,O:XSP250918C00663000
HTML_4336123469600176699,2025-09-19 13:40:00,BUY,XSP,663.0,P,2025-09-19,2.0,0.65,-129.08,0.08,FILLED,O:XSP250919P00663000
HTML_2520342602271201542,2025-09-19 13:42:00,BUY,XSP,666.0,C,2025-09-19,7.0,0.55,-381.8,0.3,FILLED,O:XSP250919C00666000
HTML_2460023389876030735,2025-09-19 13:45:00,SELL,XSP,663.0,P,2025-09-19,2.0,0.69,138.0,0.08,FILLED,O:XSP250919P00663000
HTML_3417508677126521702,2025-09-19 15:23:00,SELL,XSP,666.0,C,2025-09-19,7.0,0.07,49.0,0.07,FILLED,O:XSP250919C00666000
HTML_7392675666613001848,2025-09-22 13:42:00,BUY,XSP,664.0,P,2025-09-22,3.0,0.47,-139.62,0.12,FILLED,O:XSP250922P00664000
HTML_8153383233977657500,2025-09-22 13:45:00,BUY,XSP,667.0,C,2025-09-22,2.0,0.2,-39.08,0.08,FILLED,O:XSP250922C00667000
HTML_5593565820371966893,2025-09-22 13:49:00,SELL,XSP,664.0,P,2025-09-22,3.0,0.32,96.0,0.12,FILLED,O:XSP250922P00664000
HTML_1825619470331747325,2025-09-22 13:54:00,SELL,XSP,667.0,C,2025-09-22,2.0,0.28,56.0,0.08,FILLED,O:XSP250922C00667000
HTML_2867726779882510865,2025-09-23 13:42:00,BUY,XSP,671.0,C,2025-09-23,3.0,0.34,-100.62,0.12,FILLED,O:XSP250923C00671000
